STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
BIHAR,ARARIA,2001,47,27,4,93,0,93,79,13,66,39,1,43,80,161,19,142,375,26,47,0,3,10,11,3,0,50,0,26,944,2069
BIHAR,ARWAL,2001,37,64,1,0,0,0,13,0,13,5,0,8,20,24,0,24,76,9,7,0,14,209,7,11,0,14,0,21,51,591
BIHAR,AURANGABAD,2001,74,46,0,16,0,16,24,4,20,19,1,28,137,103,8,95,155,13,28,2,3,25,33,13,2,19,0,82,867,1690
BIHAR,BAGAHA,2001,34,67,12,25,0,25,56,6,50,1,0,9,7,115,0,115,67,1,15,0,6,343,0,4,0,2,0,2,146,912
BIHAR,BANKA,2001,93,16,4,34,0,34,27,10,17,49,2,39,51,73,0,73,196,4,3,0,4,8,9,0,0,16,0,0,758,1386
BIHAR,BEGUSARAI,2001,124,77,5,13,0,13,53,7,46,18,0,67,76,265,16,249,147,26,26,0,6,65,21,32,0,21,0,71,1515,2628
BIHAR,BETTIAH,2001,66,9,20,20,0,20,84,23,61,8,2,32,93,265,14,251,340,35,33,1,21,842,17,23,0,54,8,41,782,2796
BIHAR,BHABHUA,2001,41,25,3,10,0,10,43,12,31,34,1,26,96,184,1,183,186,8,23,0,21,92,8,7,0,22,0,52,486,1368
BIHAR,BHAGALPUR,2001,128,73,6,35,0,35,66,9,57,22,6,55,127,370,25,345,171,22,47,1,13,9,20,15,0,52,0,53,1343,2634
BIHAR,BHOJPUR,2001,135,33,0,22,0,22,46,13,33,32,0,49,114,214,18,196,240,0,31,0,0,515,23,0,4,29,0,102,1217,2806
BIHAR,BUXAR,2001,56,38,0,8,0,8,34,1,33,49,0,34,76,179,5,174,189,0,57,0,18,39,15,0,0,0,0,82,800,1674
